Date,Open,High,Low,Close,Adj Close,Volume
2021-10-29,179.899994,182.339996,178.509995,180.000000,179.663879,1361800
2021-11-01,179.669998,185.720001,176.580002,185.389999,185.043808,2003900
2021-11-02,185.619995,189.380005,185.000000,188.899994,188.547256,3015500
2021-11-03,189.889999,193.250000,188.960007,191.570007,191.212280,2691000
2021-11-04,193.080002,199.460007,193.020004,198.139999,197.770004,2797900
2021-11-05,199.940002,201.000000,195.529999,198.509995,198.509995,1992000
2021-11-08,202.600006,212.500000,199.360001,208.009995,208.009995,6407800
2021-11-09,212.600006,213.270004,200.580002,205.000000,205.000000,3113600
2021-11-10,200.100006,204.119995,196.149994,197.889999,197.889999,3196400
2021-11-11,201.740005,208.899994,201.130005,208.779999,208.779999,2901100
2021-11-12,209.009995,216.630005,207.779999,213.800003,213.800003,3812500
2021-11-15,217.000000,217.000000,210.020004,215.270004,215.270004,1920800
2021-11-16,213.509995,219.699997,213.460007,219.020004,219.020004,3501100
2021-11-17,219.000000,220.350006,216.009995,216.179993,216.179993,1789600
2021-11-18,220.750000,223.929993,215.880005,220.570007,220.570007,2588900
2021-11-19,221.119995,221.990005,219.020004,220.869995,220.869995,1667700
2021-11-22,222.990005,230.029999,218.350006,220.529999,220.529999,3194300
2021-11-23,219.220001,222.960007,212.339996,220.250000,220.250000,2367600
2021-11-24,217.000000,230.330002,217.000000,230.050003,230.050003,2254400
2021-11-26,225.220001,228.470001,221.199997,223.949997,223.949997,1533600
2021-11-29,228.869995,234.179993,225.389999,233.080002,233.080002,2936000
2021-11-30,232.679993,239.789993,226.789993,228.449997,228.449997,4907300
2021-12-01,232.259995,234.130005,217.889999,219.139999,219.139999,3093100
2021-12-02,216.660004,223.330002,215.380005,218.699997,218.699997,3393500
2021-12-03,221.130005,229.399994,211.259995,217.059998,217.059998,4255100
2021-12-06,216.729996,217.029999,203.119995,213.410004,213.410004,2582300
2021-12-07,216.710007,224.130005,216.710007,223.809998,223.809998,2516500
